,1,2
Population 602,103.0,
Population 603,37.0,
Population 604,48.0,
Population 605,179.0,1.0
Population 606,48.0,
Population 607,269.0,
Population 608,30.0,
Population 609,481.0,5.0
Population 610,47.0,
Population 611,32.0,
Population 612,54.0,
Population 613,266.0,
Population 614,74.0,
Population 615,246.0,
Population 616,63.0,
Population 617,108.0,
Population 618,82.0,
Population 619,159.0,
Population 620,41.0,
Population 621,32.0,
Population 622,101.0,
Population 623,76.0,
Population 624,13725.0,46.0
Population 625,214.0,
Population 626,121.0,
Population 627,31.0,
Population 628,78.0,
Population 629,50.0,
Population 630,229.0,
Population 631,36.0,
Population 632,36.0,
Population 633,111.0,
Population 634,43.0,
Population 635,20.0,
Population 636,72.0,1.0
Population 637,2115.0,49.0
Population 638,85.0,
Population 639,56.0,
Population 640,118.0,
Population 641,107.0,
Population 642,47.0,
Population 643,52.0,
Population 644,115.0,
Population 645,29.0,
Population 646,33.0,
Population 647,39.0,
Population 648,557.0,
Population 649,132.0,
Population 650,61.0,
Population 651,138.0,
Population 652,60.0,
Population 653,246.0,1.0
Population 654,109.0,4.0
Population 655,122.0,
Population 656,29.0,
Population 657,56.0,
Population 658,79.0,
Population 659,98.0,1.0
Population 660,84.0,
Population 661,51.0,
Population 662,43.0,
Population 663,78.0,
Population 664,62.0,
Population 665,435.0,
Population 666,50.0,
Population 667,106.0,3.0
Population 668,105.0,
Population 669,42.0,
Population 670,1368.0,7.0
Population 671,484.0,
Population 672,332.0,
Population 673,137.0,
Population 674,45.0,
Population 675,43.0,
Population 676,37.0,
Population 677,41.0,
Population 678,49.0,
Population 679,61.0,
Population 680,135.0,
Population 681,50.0,
Population 682,511.0,1.0
Population 683,38.0,
Population 684,41.0,
Population 685,57.0,
Population 686,88.0,
Population 687,64.0,1.0
Population 688,38.0,
Population 689,1641.0,193.0
Population 690,9957.0,619.0
Population 691,51.0,
Population 692,46.0,3.0
Population 693,164.0,1.0
Population 694,19.0,
Population 695,114.0,
Population 696,41.0,
Population 697,187.0,
Population 698,127.0,
Population 699,50.0,
Population 700,26.0,
Population 701,52.0,
Population 702,48.0,
Population 703,71.0,1.0
Population 704,65.0,
Population 705,21.0,
Population 706,123.0,
Population 707,95.0,
Population 708,102.0,
Population 709,67.0,
Population 710,50.0,
Population 711,23.0,
Population 712,57.0,
Population 713,32.0,
Population 714,42.0,
Population 715,46.0,
Population 716,813.0,
Population 717,64.0,
Population 718,49.0,
Population 719,353.0,
Population 720,32.0,
Population 721,30.0,
Population 722,85.0,
Population 723,296.0,97.0
Population 724,34.0,
Population 725,55.0,
