,1,2,3,4,5
Population 415,238444.0,2206.0,1.0,,
Population 416,168652.0,2549.0,26.0,,
Population 417,898853.0,13230.0,45.0,,
Population 418,457215.0,7414.0,12.0,,
Population 419,167510.0,2133.0,5.0,,
Population 420,637884.0,17132.0,60.0,,
Population 421,965117.0,22752.0,193.0,,
Population 422,404567.0,5294.0,170.0,3.0,
Population 423,138356.0,1787.0,1432.0,1.0,
Population 424,850824.0,11986.0,33.0,,
Population 425,109964.0,10042.0,74.0,,
Population 426,291980.0,5231.0,6.0,,
Population 427,647399.0,12116.0,45.0,,
Population 428,113232.0,1298.0,8.0,,
Population 429,207738.0,2379.0,5.0,,
Population 430,179660.0,4723.0,2.0,,
Population 431,418428.0,5422.0,11.0,,
Population 432,220508.0,4140.0,3.0,,
Population 433,346804.0,8905.0,15.0,,
Population 434,536044.0,14636.0,35.0,,
Population 435,333160.0,36416.0,448.0,,
Population 436,963956.0,25507.0,170.0,,
Population 437,711356.0,14275.0,69.0,,
Population 438,578687.0,12239.0,69.0,,
Population 439,548584.0,11899.0,1098.0,11.0,
Population 440,256186.0,1906.0,23.0,,
Population 441,748417.0,212101.0,996.0,1.0,
Population 442,360020.0,9123.0,55.0,,
Population 443,230249.0,4942.0,14.0,,
Population 444,195063.0,5073.0,9.0,,
Population 445,636247.0,18376.0,57.0,,
Population 446,84213.0,994.0,,,
Population 447,260954.0,3195.0,,,
Population 448,232936.0,1978.0,,,
Population 449,363277.0,13026.0,30.0,,
Population 450,627264.0,14664.0,150.0,,
Population 451,928138.0,11679.0,20.0,,
Population 452,503235.0,4850.0,2.0,,
Population 453,500887.0,418318.0,2071.0,4.0,
Population 454,173754.0,4611.0,3.0,,
Population 455,177967.0,2671.0,7.0,,
Population 456,481674.0,11422.0,23.0,,
Population 457,708507.0,42231.0,270.0,,
Population 458,725209.0,11029.0,29.0,,
Population 459,680122.0,15075.0,82.0,,
Population 460,353794.0,10015.0,40.0,,
Population 461,785453.0,125976.0,567.0,1.0,
Population 462,306761.0,10493.0,36.0,,
Population 463,173252.0,2507.0,24.0,,
Population 464,318572.0,4320.0,3.0,,
Population 465,242070.0,4452.0,24.0,,
Population 466,12282.0,664651.0,318584.0,4270.0,18.0
Population 467,168593.0,2857.0,38.0,,
Population 468,316365.0,3121.0,4.0,,
Population 469,466342.0,9511.0,44.0,,
Population 470,586031.0,16467.0,34.0,,
Population 471,388568.0,40936.0,172.0,,
Population 472,660778.0,35713.0,450.0,,
Population 473,744594.0,9918.0,41.0,,
Population 474,393755.0,4395.0,6.0,,
Population 475,714496.0,168645.0,986.0,,
Population 476,211842.0,259136.0,913.0,,
Population 477,395153.0,8946.0,10.0,,
Population 478,588512.0,13208.0,111.0,1.0,
Population 479,213231.0,2353.0,49.0,,
Population 480,143204.0,4606.0,17.0,,
Population 481,954802.0,22619.0,69.0,,
Population 482,260827.0,2483.0,4.0,,
Population 483,856675.0,11029.0,59.0,,
Population 484,140960.0,6379.0,3.0,,
Population 485,295902.0,2837.0,,,
Population 486,444597.0,32900.0,64.0,,
Population 487,898169.0,29884.0,186.0,,
Population 488,739288.0,16263.0,129.0,,
Population 489,498734.0,4037.0,62.0,,
Population 490,632318.0,11854.0,43.0,,
Population 491,101323.0,1331.0,,,
Population 492,364424.0,3062.0,3.0,,
Population 493,116284.0,1890.0,5.0,,
Population 494,824161.0,37187.0,294.0,,
Population 495,574459.0,5332.0,21.0,,
Population 496,927745.0,51066.0,1416.0,3.0,
Population 497,712223.0,19278.0,57.0,,
Population 498,286952.0,21476.0,208.0,,
Population 499,266960.0,1193.0,,,
Population 500,141400.0,1214.0,,,
Population 501,566905.0,21949.0,47.0,,
Population 502,159171.0,2645.0,216.0,,
Population 503,945902.0,24158.0,537.0,,
Population 504,803785.0,127600.0,608.0,,
Population 505,101949.0,836.0,3.0,,
Population 506,90518.0,1096.0,,,
Population 507,297078.0,2991.0,9.0,,
Population 508,809959.0,21454.0,64.0,,
Population 509,86703.0,3742.0,1.0,,
Population 510,895483.0,7520.0,9.0,,
Population 511,305297.0,3614.0,15.0,,
Population 512,104074.0,704.0,1.0,,
Population 513,878488.0,34110.0,143.0,,
Population 514,474339.0,11159.0,29.0,,
Population 515,783153.0,115559.0,471.0,,
Population 516,449783.0,9963.0,81.0,,
Population 517,309528.0,2443.0,1.0,,
Population 518,968417.0,12401.0,27.0,,
Population 519,600665.0,24658.0,128.0,,
Population 520,740370.0,10773.0,38.0,,
Population 521,648499.0,7919.0,8.0,,
Population 522,197770.0,1269.0,2.0,,
Population 523,285679.0,3898.0,7.0,,
Population 524,435984.0,32277.0,3695.0,5.0,
Population 525,702157.0,25342.0,146.0,,
Population 526,673554.0,8477.0,13.0,,
Population 527,351821.0,6220.0,404.0,,
Population 528,573321.0,7580.0,16.0,,
Population 529,619010.0,6053.0,1.0,,
Population 530,267535.0,5987.0,26.0,,
Population 531,94427.0,1789.0,,,
Population 532,308137.0,169091.0,492.0,1.0,
Population 533,157552.0,706.0,,,
Population 534,210263.0,8619.0,11.0,,
Population 535,955888.0,14305.0,58.0,,
Population 536,99244.0,1931.0,11.0,,
Population 537,473744.0,15095.0,69.0,,
Population 538,164103.0,17252.0,62.0,,
Population 539,867200.0,13899.0,18.0,,
Population 540,315718.0,6181.0,56.0,,
Population 541,239657.0,1903.0,10.0,,
Population 542,311032.0,12653.0,39.0,,
Population 543,430088.0,23878.0,91.0,,
Population 544,201653.0,1805.0,8.0,,
Population 545,438063.0,55671.0,230.0,,
Population 546,310072.0,3170.0,12.0,,
Population 547,830699.0,9925.0,44.0,,
Population 548,616462.0,85151.0,939.0,,
Population 549,217328.0,2057.0,1.0,,
Population 550,854016.0,5579.0,3.0,,
Population 551,94668.0,8745.0,26.0,,
Population 552,768595.0,29100.0,122.0,,
