,1,2,3
Population 547,41.0,1.0,
Population 548,32.0,,
Population 549,109.0,,
Population 550,1405.0,4.0,
Population 551,36.0,,
Population 552,129.0,,
Population 553,219.0,1.0,
Population 554,43.0,,
Population 555,171.0,,
Population 556,9306.0,16.0,
Population 557,18.0,,
Population 558,103.0,,
Population 559,18.0,,
Population 560,13896.0,53.0,
Population 561,28.0,,
Population 562,78.0,,
Population 563,26.0,,
Population 564,86.0,,
Population 565,67.0,,
Population 566,34.0,,
Population 567,173.0,,
Population 568,97.0,,
Population 569,10942.0,26.0,
Population 570,33.0,,
Population 571,17.0,,
Population 572,22.0,,
Population 573,16.0,,
Population 574,11.0,,
Population 575,1635.0,2.0,
Population 576,608.0,1.0,
Population 577,70.0,8.0,
Population 578,895.0,,
Population 579,116.0,,
Population 580,30.0,,
Population 581,11239.0,19.0,
Population 582,47.0,,
Population 583,55.0,,
Population 584,19.0,,
Population 585,18.0,,
Population 586,58.0,,
Population 587,61.0,,
Population 588,48.0,,
Population 589,10851.0,702.0,
Population 590,69.0,,
Population 591,832.0,1.0,
Population 592,99.0,,
Population 593,23.0,,
Population 594,10.0,,
Population 595,34.0,,
Population 596,2666.0,2.0,
Population 597,35.0,,
Population 598,147.0,,
Population 599,789.0,5.0,
Population 600,107.0,,
Population 601,24.0,,
Population 602,67.0,,
Population 603,68.0,,
Population 604,8587.0,16.0,
Population 605,43.0,1.0,
Population 606,152.0,,
Population 607,27.0,,
Population 608,25.0,,
Population 609,6366.0,147.0,
Population 610,39.0,,
Population 611,226.0,,
Population 612,1194.0,,
Population 613,72.0,,
Population 614,1490.0,,
Population 615,88.0,,
Population 616,223.0,,
Population 617,13936.0,17.0,
Population 618,16.0,,
Population 619,31.0,,
Population 620,407.0,4.0,
Population 621,17.0,,
Population 622,96.0,,
Population 623,77.0,,
Population 624,110.0,,
Population 625,25.0,,
Population 626,27.0,,
Population 627,110.0,,
Population 628,14.0,,
Population 629,4340.0,12.0,
Population 630,288.0,14.0,
Population 631,29.0,,
Population 632,129.0,,
Population 633,326.0,,
Population 634,71.0,,
Population 635,68.0,,
Population 636,58.0,,
Population 637,16.0,,
Population 638,11635.0,40.0,
Population 639,218.0,,
Population 640,268.0,,
Population 641,76.0,,
Population 642,23.0,,
Population 643,26.0,,
Population 644,272.0,,
Population 645,94.0,,
Population 646,24.0,,
Population 647,9754.0,11.0,
Population 648,250.0,,
Population 649,61.0,1.0,
Population 650,26.0,,
Population 651,24.0,,
Population 652,12911.0,26.0,
Population 653,307.0,,
Population 654,10485.0,11.0,
Population 655,33.0,,
Population 656,12978.0,522.0,
Population 657,757.0,,
Population 658,27.0,,
Population 659,136.0,,
Population 660,116.0,1.0,
Population 661,174.0,,
Population 662,28.0,,
Population 663,12.0,,
Population 664,1814.0,1.0,
Population 665,12.0,,
Population 666,12.0,,
Population 667,4075.0,5.0,
Population 668,1316.0,10.0,
Population 669,6928.0,57.0,
Population 670,13.0,,
Population 671,17.0,,
Population 672,88.0,,
Population 673,205.0,,
Population 674,151.0,,
Population 675,102.0,,
Population 676,58.0,1.0,
Population 677,7610.0,49.0,5.0
Population 678,111.0,,
Population 679,13.0,,
Population 680,468.0,2.0,
Population 681,1422.0,,
Population 682,366.0,,
Population 683,27.0,,
Population 684,59.0,,
Population 685,27.0,,
Population 686,107.0,,
Population 687,52.0,,
Population 688,40.0,,
Population 689,102.0,,
Population 690,1559.0,8.0,
Population 691,313.0,,
Population 692,24.0,,
Population 693,1590.0,1.0,
Population 694,29.0,,
Population 695,24.0,,
Population 696,3004.0,,
Population 697,21.0,,
Population 698,39.0,,
Population 699,30.0,,
Population 700,1094.0,14.0,
Population 701,30.0,,
Population 702,17.0,,
Population 703,445.0,,
Population 704,45.0,,
Population 705,15.0,,
Population 706,3923.0,59.0,
Population 707,38.0,,
Population 708,37.0,,
Population 709,140.0,,
Population 710,26.0,,
Population 711,116.0,,
Population 712,31.0,,
Population 713,463.0,,
Population 714,11882.0,26.0,
Population 715,149.0,,
Population 716,314.0,,
Population 717,132.0,,
Population 718,32.0,,
Population 719,155.0,,
Population 720,2964.0,1.0,
Population 721,4276.0,,
Population 722,12.0,,
Population 723,199.0,,
Population 724,336.0,1.0,
Population 725,21.0,,
Population 726,29.0,,
Population 727,23.0,,
Population 728,6257.0,54.0,
Population 729,138.0,,
Population 730,41.0,,
Population 731,85.0,,
Population 732,87.0,,
Population 733,11.0,,
Population 734,76.0,,
Population 735,4647.0,8.0,
Population 736,509.0,1.0,
Population 737,17.0,,
Population 738,17.0,,
Population 739,5675.0,7.0,
Population 740,168.0,,
Population 741,13663.0,69.0,
Population 742,413.0,,
Population 743,39.0,,
Population 744,16.0,,
Population 745,55.0,,
Population 746,20.0,,
Population 747,65.0,,
Population 748,313.0,1.0,
Population 749,2712.0,3.0,
Population 750,435.0,1.0,
Population 751,104.0,,
Population 752,23.0,,
Population 753,205.0,,
Population 754,45.0,,
Population 755,65.0,,
Population 756,15.0,,
Population 757,7.0,,
Population 758,18.0,,
Population 759,3992.0,7.0,
Population 760,212.0,1.0,
Population 761,174.0,,
Population 762,108.0,,
Population 763,84.0,,
Population 764,42.0,,
Population 765,17.0,,
Population 766,90.0,,
Population 767,29.0,,
Population 768,149.0,,
Population 769,22.0,,
Population 770,38.0,,
Population 771,3858.0,16.0,
Population 772,7.0,,
Population 773,19.0,,
Population 774,234.0,1.0,
