,1,2,3
Population 653,90.0,,
Population 654,18.0,,
Population 655,89.0,,
Population 656,85.0,,
Population 657,56.0,,
Population 658,59.0,1.0,
Population 659,190.0,,
Population 660,167.0,,
Population 661,19.0,,
Population 662,1148.0,3.0,
Population 663,185.0,,
Population 664,53.0,,
Population 665,229.0,,
Population 666,92.0,,
Population 667,26.0,,
Population 668,38.0,,
Population 669,139.0,,
Population 670,116.0,,
Population 671,230.0,,
Population 672,19.0,,
Population 673,1248.0,1.0,
Population 674,26.0,,
Population 675,542.0,,
Population 676,28.0,,
Population 677,17.0,,
Population 678,75.0,,
Population 679,49.0,,
Population 680,128.0,,
Population 681,124.0,,
Population 682,1845.0,,
Population 683,54.0,,
Population 684,34.0,,
Population 685,8453.0,18.0,
Population 686,4606.0,116.0,
Population 687,1915.0,5.0,
Population 688,950.0,,
Population 689,2786.0,,
Population 690,101.0,,
Population 691,111.0,,
Population 692,298.0,,
Population 693,34.0,,
Population 694,202.0,,
Population 695,153.0,,
Population 696,207.0,,
Population 697,4316.0,3.0,
Population 698,47.0,,
Population 699,49.0,,
Population 700,75.0,,
Population 701,18.0,,
Population 702,29.0,,
Population 703,236.0,,
Population 704,354.0,,
Population 705,64.0,,
Population 706,69.0,,
Population 707,90.0,2.0,
Population 708,291.0,,
Population 709,71.0,,
Population 710,55.0,,
Population 711,2539.0,10.0,
Population 712,234.0,1.0,
Population 713,61.0,,
Population 714,635.0,,
Population 715,118.0,,
Population 716,140.0,,
Population 717,32.0,,
Population 718,9838.0,98.0,
Population 719,42.0,,
Population 720,122.0,,
Population 721,273.0,,
Population 722,113.0,,
Population 723,408.0,1.0,
Population 724,17.0,,
Population 725,258.0,1.0,
Population 726,151.0,1.0,
Population 727,83.0,,
Population 728,664.0,,
Population 729,27.0,,
Population 730,5469.0,3.0,
Population 731,5856.0,188.0,
Population 732,26.0,,
Population 733,12541.0,138.0,1.0
Population 734,61.0,,
Population 735,339.0,,
Population 736,754.0,,
Population 737,129.0,,
Population 738,45.0,,
Population 739,2995.0,4.0,
Population 740,38.0,,
Population 741,38.0,,
Population 742,53.0,,
Population 743,186.0,,
Population 744,21.0,,
Population 745,859.0,2.0,
Population 746,18.0,,
Population 747,143.0,,
Population 748,134.0,1.0,
Population 749,309.0,1.0,
Population 750,117.0,,
Population 751,50.0,,
Population 752,18.0,,
Population 753,38.0,,
Population 754,100.0,,
Population 755,25.0,,
Population 756,43.0,,
Population 757,14.0,,
Population 758,10578.0,13.0,
Population 759,319.0,,
Population 760,480.0,,
Population 761,83.0,,
Population 762,209.0,,
Population 763,118.0,,
Population 764,17.0,,
Population 765,53.0,,
Population 766,2204.0,2.0,
Population 767,165.0,,
Population 768,254.0,,
Population 769,32.0,,
Population 770,230.0,,
Population 771,51.0,,
Population 772,100.0,,
Population 773,22.0,,
Population 774,804.0,6.0,
Population 775,72.0,,
Population 776,20.0,,
Population 777,122.0,,
Population 778,52.0,,
Population 779,13240.0,11.0,
Population 780,224.0,,
Population 781,47.0,,
Population 782,24.0,,
Population 783,30.0,,
Population 784,326.0,,
Population 785,33.0,,
Population 786,835.0,9.0,
Population 787,96.0,,
Population 788,45.0,,
Population 789,186.0,1.0,
Population 790,254.0,,
Population 791,25.0,,
Population 792,13409.0,19.0,
Population 793,58.0,1.0,
Population 794,43.0,,
Population 795,29.0,,
Population 796,72.0,,
Population 797,316.0,,
Population 798,51.0,,
Population 799,64.0,,
Population 800,153.0,,
Population 801,131.0,,
Population 802,37.0,,
Population 803,57.0,,
Population 804,19.0,,
Population 805,46.0,,
Population 806,53.0,1.0,
Population 807,110.0,,
Population 808,4624.0,7.0,
Population 809,43.0,,
Population 810,56.0,,
Population 811,44.0,,
Population 812,74.0,,
Population 813,5.0,,
Population 814,7571.0,19.0,
Population 815,26.0,,
Population 816,162.0,,
Population 817,35.0,,
Population 818,1253.0,1.0,
Population 819,31.0,,
Population 820,12031.0,62.0,
Population 821,35.0,,
Population 822,220.0,,
Population 823,93.0,,
Population 824,81.0,,
Population 825,6906.0,8.0,
Population 826,41.0,,
Population 827,622.0,,
Population 828,4883.0,60.0,
Population 829,6799.0,379.0,1.0
Population 830,72.0,,
Population 831,74.0,,
