,1,2,3,4
Population 674,11816.0,104.0,,
Population 675,23837.0,122.0,,
Population 676,12119.0,276.0,,
Population 677,14535.0,892.0,3.0,
Population 678,16391.0,208.0,,
Population 679,10098.0,43.0,,
Population 680,11083.0,46.0,,
Population 681,23081.0,230.0,,
Population 682,15094.0,66.0,,
Population 683,10642.0,33.0,,
Population 684,24692.0,89.0,,
Population 685,8635.0,21.0,,
Population 686,24748.0,135.0,,
Population 687,17604.0,120.0,,
Population 688,166538.0,1930.0,2.0,
Population 689,9470.0,22.0,,
Population 690,13563.0,70.0,,
Population 691,27835.0,123.0,,
Population 692,21276.0,55.0,,
Population 693,32061.0,303.0,1.0,
Population 694,21484.0,54.0,,
Population 695,17551.0,47.0,,
Population 696,13468.0,30.0,,
Population 697,18533.0,86.0,,
Population 698,17623.0,60.0,,
Population 699,11329.0,94.0,,
Population 700,13876.0,29.0,,
Population 701,11419.0,48.0,,
Population 702,112447.0,2424.0,28.0,
Population 703,10065.0,996.0,2.0,
Population 704,26888.0,68.0,,
Population 705,8047.0,25.0,,
Population 706,23442.0,55.0,,
Population 707,20667.0,146.0,3.0,
Population 708,22767.0,101.0,,
Population 709,11654.0,36.0,,
Population 710,9137.0,8.0,,
Population 711,11029.0,43.0,,
Population 712,7877.0,23.0,,
Population 713,9874.0,29.0,,
Population 714,8468.0,21.0,,
Population 715,23503.0,67.0,,
Population 716,10160.0,33.0,,
Population 717,48834.0,324.0,,
Population 718,61024.0,515.0,,
Population 719,10513.0,29.0,,
Population 720,20407.0,116.0,,
Population 721,24011.0,132.0,,
Population 722,31508.0,165.0,,
Population 723,20573.0,161.0,,
Population 724,25125.0,251.0,,
Population 725,10585.0,28.0,,
Population 726,11061.0,20.0,,
Population 727,24208.0,118.0,,
Population 728,8840.0,29.0,,
Population 729,9773.0,9.0,,
Population 730,9924.0,95.0,,
Population 731,17190.0,71.0,,
Population 732,12753.0,107.0,,
Population 733,14682.0,77.0,1.0,
Population 734,11187.0,13.0,,
Population 735,19802.0,115.0,,
Population 736,19426.0,108.0,,
Population 737,14772.0,43.0,,
Population 738,12106.0,15.0,,
Population 739,12719.0,43.0,,
Population 740,24599.0,63.0,,
Population 741,10553.0,21.0,,
Population 742,10739.0,29.0,,
Population 743,8044.0,16.0,,
Population 744,23829.0,141.0,,
Population 745,10038.0,42.0,,
Population 746,34263.0,479.0,6.0,
Population 747,9294.0,57.0,,
Population 748,9347.0,33.0,,
Population 749,66535.0,361.0,3.0,
Population 750,43509.0,302.0,,
Population 751,22377.0,137.0,,
Population 752,12905.0,38.0,,
Population 753,16449.0,146.0,,
Population 754,23308.0,297.0,,
Population 755,40869.0,220.0,,
Population 756,11243.0,42.0,,
Population 757,28279.0,170.0,,
Population 758,95068.0,743.0,6.0,
Population 759,27223.0,97.0,,
Population 760,20178.0,322.0,,
Population 761,12141.0,27.0,,
Population 762,261477.0,2225.0,6.0,
Population 763,10202.0,58.0,,
Population 764,126066.0,966.0,2.0,
Population 765,15851.0,95.0,1.0,
Population 766,9647.0,40.0,,
Population 767,21422.0,386.0,1.0,
Population 768,12323.0,64.0,,
Population 769,11654.0,25.0,,
Population 770,9185.0,36.0,,
