,1,2,3
Population 578,9158.0,38.0,
Population 579,11040.0,60.0,
Population 580,6908.0,10.0,
Population 581,7559.0,24.0,
Population 582,12223.0,34.0,
Population 583,12490.0,50.0,
Population 584,9216.0,38.0,
Population 585,6809.0,24.0,
Population 586,7841.0,12.0,
Population 587,7303.0,17.0,
Population 588,8835.0,9.0,
Population 589,40733.0,225.0,
Population 590,7151.0,19.0,
Population 591,9061.0,108.0,
Population 592,8708.0,282.0,
Population 593,13426.0,93.0,
Population 594,7481.0,36.0,
Population 595,8122.0,60.0,
Population 596,6710.0,48.0,
Population 597,8120.0,14.0,
Population 598,8018.0,46.0,3.0
Population 599,30987.0,117.0,
Population 600,8253.0,21.0,
Population 601,13765.0,21.0,
Population 602,8662.0,26.0,
Population 603,12397.0,30.0,
Population 604,9793.0,35.0,
Population 605,13805.0,27.0,
Population 606,9686.0,17.0,
Population 607,10537.0,20.0,
Population 608,8723.0,254.0,
Population 609,21689.0,156.0,
Population 610,9225.0,11.0,
Population 611,11311.0,24.0,
Population 612,18488.0,77.0,
Population 613,17100.0,48.0,
Population 614,19571.0,63.0,
Population 615,887940.0,5470.0,25.0
Population 616,11526.0,63.0,
Population 617,8368.0,42.0,
Population 618,8089.0,36.0,
Population 619,9950.0,11.0,
Population 620,7830.0,56.0,
Population 621,7247.0,47.0,
Population 622,5968.0,18.0,
Population 623,10270.0,45.0,
Population 624,30582.0,174.0,
Population 625,10106.0,13.0,
Population 626,7074.0,22.0,
Population 627,11719.0,31.0,
Population 628,9399.0,15.0,
Population 629,21286.0,204.0,
Population 630,6831.0,2.0,
Population 631,7459.0,14.0,
Population 632,17348.0,44.0,
Population 633,8621.0,18.0,
Population 634,8701.0,21.0,
Population 635,7445.0,11.0,
Population 636,9400.0,9.0,
Population 637,7782.0,9.0,
Population 638,9794.0,24.0,
Population 639,290726.0,2698.0,11.0
Population 640,6536.0,42.0,
Population 641,7610.0,23.0,
Population 642,8806.0,15.0,
Population 643,9065.0,50.0,
Population 644,6869.0,44.0,
Population 645,7655.0,30.0,
Population 646,9030.0,12.0,
Population 647,6906.0,17.0,
Population 648,11884.0,84.0,
Population 649,11983.0,232.0,
Population 650,20710.0,105.0,
Population 651,20262.0,99.0,
Population 652,7138.0,13.0,
Population 653,6575.0,12.0,
Population 654,9743.0,18.0,
Population 655,15847.0,60.0,
Population 656,11786.0,14.0,
Population 657,43971.0,542.0,2.0
Population 658,9257.0,26.0,
Population 659,8408.0,27.0,
Population 660,9365.0,35.0,
Population 661,8734.0,41.0,
Population 662,8927.0,52.0,
Population 663,10212.0,33.0,
Population 664,9944.0,63.0,
Population 665,12087.0,68.0,
Population 666,9245.0,25.0,
Population 667,15305.0,30.0,
Population 668,13277.0,34.0,
Population 669,8890.0,15.0,
Population 670,6806.0,8.0,
Population 671,12044.0,166.0,
Population 672,14807.0,38.0,
Population 673,9312.0,38.0,
Population 674,8483.0,20.0,
Population 675,8892.0,95.0,1.0
Population 676,18069.0,81.0,
Population 677,7747.0,3.0,
Population 678,6694.0,6.0,
Population 679,7682.0,28.0,
Population 680,10068.0,38.0,
Population 681,10643.0,62.0,
Population 682,7460.0,12.0,
Population 683,14629.0,180.0,
Population 684,13182.0,97.0,
Population 685,17518.0,23.0,
Population 686,12041.0,41.0,
Population 687,7481.0,29.0,
Population 688,59620.0,338.0,
Population 689,9426.0,64.0,
Population 690,6445.0,19.0,
Population 691,8393.0,15.0,
Population 692,12695.0,42.0,
Population 693,10807.0,53.0,
Population 694,11948.0,60.0,
Population 695,15537.0,437.0,
Population 696,9842.0,31.0,
Population 697,8989.0,155.0,
Population 698,24222.0,96.0,
Population 699,10136.0,32.0,
Population 700,6425.0,9.0,
Population 701,30197.0,156.0,
Population 702,6924.0,14.0,
Population 703,7288.0,2.0,
Population 704,8549.0,27.0,
Population 705,48347.0,189.0,
Population 706,6840.0,9.0,
Population 707,13255.0,15.0,
Population 708,10864.0,29.0,
Population 709,8540.0,138.0,17.0
Population 710,11893.0,27.0,
Population 711,98288.0,1913.0,2.0
Population 712,8184.0,50.0,
Population 713,17659.0,88.0,
Population 714,6359.0,16.0,
Population 715,7191.0,50.0,
Population 716,10445.0,25.0,2.0
Population 717,7167.0,8.0,
Population 718,14117.0,36.0,
Population 719,7810.0,40.0,
Population 720,11102.0,24.0,
Population 721,7996.0,26.0,
Population 722,13160.0,39.0,
Population 723,9683.0,56.0,
Population 724,26019.0,383.0,
Population 725,9748.0,114.0,1.0
Population 726,19567.0,51.0,
Population 727,8363.0,25.0,
Population 728,18313.0,28.0,
Population 729,9685.0,24.0,
Population 730,12276.0,53.0,
Population 731,19532.0,81.0,
Population 732,12542.0,25.0,
Population 733,11696.0,21.0,
Population 734,7438.0,39.0,
Population 735,8403.0,3.0,
Population 736,11728.0,69.0,
Population 737,22068.0,399.0,
Population 738,8340.0,7.0,
Population 739,6243.0,21.0,
