,1,2,3,4
Population 297,2016902.0,24958.0,,
Population 298,1250524.0,3191.0,,
Population 299,1558974.0,19380.0,,
Population 300,1228218.0,2851.0,,
Population 301,1361988.0,3559.0,,
Population 302,1210842.0,6483.0,,
Population 303,1072502.0,3395.0,,
Population 304,1023001.0,3866.0,,
Population 305,1075563.0,3508.0,,
Population 306,4339052.0,13981.0,,
Population 307,1478416.0,12626.0,,
Population 308,1715357.0,7028.0,,
Population 309,896191.0,1433.0,,
Population 310,1050357.0,2575.0,,
Population 311,1860138.0,6517.0,,
Population 312,1224242.0,2782.0,,
Population 313,1548716.0,5729.0,,
Population 314,990424.0,1480.0,,
Population 315,1383596.0,2713.0,,
Population 316,3654186.0,20611.0,,
Population 317,1583880.0,8678.0,,
Population 318,21747560.0,202480.0,1079.0,
Population 319,1347649.0,1233.0,,
Population 320,1258797.0,2296.0,,
Population 321,1533725.0,2371.0,,
Population 322,1897041.0,7363.0,,
Population 323,762230.0,7268.0,,
Population 324,939961.0,1260.0,,
Population 325,1881115.0,8540.0,,
Population 326,1578331.0,9808.0,,
Population 327,1045107.0,2853.0,,
Population 328,3317642.0,29799.0,106.0,
Population 329,734850.0,4388.0,,
Population 330,1227048.0,12284.0,,
Population 331,1350744.0,15352.0,435.0,
Population 332,968456.0,353.0,,
Population 333,3298526.0,25054.0,,
Population 334,935052.0,3252.0,,
Population 335,2404463.0,12423.0,,
Population 336,3427883.0,12414.0,,
Population 337,3007231.0,10899.0,,
Population 338,3460413.0,52184.0,,
Population 339,1297216.0,2746.0,,
Population 340,2118996.0,10726.0,,
Population 341,1929346.0,6526.0,,
Population 342,1136359.0,3510.0,,
Population 343,2285799.0,8572.0,,
Population 344,936387.0,16284.0,128.0,
Population 345,1584715.0,6060.0,,
Population 346,2570799.0,16276.0,,
Population 347,830494.0,1172.0,,
Population 348,1268930.0,2188.0,,
Population 349,1746194.0,4274.0,,
Population 350,891989.0,2825.0,,
Population 351,13591491.0,138946.0,206.0,
Population 352,855659.0,1662.0,,
Population 353,1262184.0,2527.0,,
Population 354,2199003.0,8406.0,,
Population 355,1093694.0,3510.0,,
Population 356,2385872.0,8780.0,,
Population 357,1021921.0,2192.0,,
Population 358,2931974.0,12757.0,,
Population 359,1293714.0,7693.0,,
Population 360,1111921.0,3533.0,,
Population 361,1315011.0,4751.0,,
Population 362,865029.0,7278.0,,
Population 363,1217408.0,3205.0,,
Population 364,874537.0,2017.0,,
Population 365,1856378.0,13407.0,,
Population 366,2792133.0,20624.0,,
Population 367,1821753.0,24174.0,,
Population 368,2455278.0,12965.0,,
Population 369,1092321.0,7758.0,,
Population 370,1004192.0,3309.0,,
Population 371,2631547.0,92453.0,,
Population 372,9554423.0,62221.0,,
Population 373,910735.0,2837.0,,
Population 374,35990186.0,278440.0,373.0,
Population 375,950600.0,6207.0,,
Population 376,2955449.0,21440.0,,
Population 377,1008291.0,4441.0,,
Population 378,835052.0,2540.0,,
Population 379,1268387.0,4077.0,,
Population 380,876519.0,4762.0,,
Population 381,870330.0,6813.0,,
Population 382,4166510.0,19411.0,,
Population 383,1302611.0,6752.0,,
Population 384,1302741.0,15393.0,,
Population 385,824145.0,1957.0,,
Population 386,6105342.0,39865.0,,
Population 387,1034148.0,3477.0,,
Population 388,943928.0,4601.0,,
Population 389,1431480.0,5686.0,,
Population 390,967693.0,1989.0,,
Population 391,2711840.0,15190.0,,
Population 392,946773.0,6789.0,,
Population 393,1603517.0,14773.0,,
Population 394,2520465.0,91717.0,131.0,
Population 395,1040953.0,2785.0,,
