,1,2,3,4,5
Population 463,189654.0,2354.0,3.0,,
Population 464,83393.0,503.0,9.0,,
Population 465,865921.0,40886.0,132.0,1.0,
Population 466,209075.0,5318.0,22.0,,
Population 467,917242.0,36871.0,294.0,,
Population 468,124114.0,820.0,1.0,,
Population 469,217571.0,2888.0,,,
Population 470,92725.0,1322.0,,,
Population 471,277278.0,1669.0,4.0,,
Population 472,373617.0,12130.0,79.0,,
Population 473,36280.0,196.0,,,
Population 474,219227.0,2400.0,2.0,,
Population 475,94071.0,1505.0,2.0,,
Population 476,345348.0,3359.0,8.0,,
Population 477,532030.0,84723.0,658.0,,
Population 478,465823.0,7040.0,12.0,,
Population 479,123376.0,1791.0,5.0,,
Population 480,199560.0,1938.0,10.0,,
Population 481,54723.0,400.0,,,
Population 482,116459.0,772.0,5.0,,
Population 483,66365.0,677.0,,,
Population 484,62370.0,427.0,,,
Population 485,143615.0,3039.0,41.0,,
Population 486,162900.0,1466.0,,,
Population 487,121246.0,5084.0,4.0,,
Population 488,847310.0,142236.0,776.0,,
Population 489,637646.0,31548.0,107.0,,
Population 490,729876.0,12660.0,165.0,,
Population 491,684208.0,5517.0,13.0,,
Population 492,184681.0,4686.0,9.0,,
Population 493,391161.0,15787.0,53.0,,
Population 494,433939.0,11370.0,918.0,2.0,
Population 495,286872.0,1284.0,1.0,,
Population 496,196071.0,3298.0,2.0,,
Population 497,369125.0,4039.0,,,
Population 498,453207.0,49623.0,233.0,7.0,
Population 499,874652.0,24050.0,107.0,,
Population 500,138604.0,1466.0,3.0,,
Population 501,197939.0,2746.0,13.0,,
Population 502,75575.0,473.0,3.0,,
Population 503,38466.0,253.0,,,
Population 504,242026.0,34066.0,1950.0,4.0,
Population 505,163325.0,1593.0,,,
Population 506,101129.0,530.0,,,
Population 507,104285.0,1670.0,3.0,,
Population 508,386360.0,36409.0,474.0,,
Population 509,222475.0,2011.0,,,
Population 510,449194.0,5789.0,14.0,,
Population 511,113486.0,3270.0,,,
Population 512,150186.0,2395.0,23.0,,
Population 513,92329.0,2891.0,32.0,,
Population 514,44218.0,201.0,,,
Population 515,58375.0,855.0,2.0,,
Population 516,921004.0,75467.0,726.0,,
Population 517,131115.0,1433.0,26.0,,
Population 518,194122.0,10832.0,35.0,,
Population 519,78567.0,1729.0,3.0,,
Population 520,76943.0,1545.0,3.0,,
Population 521,798254.0,18262.0,29.0,,
Population 522,160520.0,2815.0,2.0,,
Population 523,223897.0,8034.0,38.0,,
Population 524,98004.0,1519.0,1.0,,
Population 525,798666.0,16344.0,53.0,,
Population 526,217167.0,2059.0,4.0,,
Population 527,607256.0,12636.0,34.0,,
Population 528,134390.0,2349.0,23.0,,
Population 529,71503.0,3991.0,5.0,,
Population 530,549422.0,20732.0,186.0,,
Population 531,466416.0,4946.0,21.0,,
Population 532,45072.0,14113.0,302025.0,1170.0,18.0
Population 533,285316.0,7860.0,57.0,,
Population 534,49249.0,393.0,,,
Population 535,80535.0,741.0,,,
Population 536,125649.0,1943.0,,,
Population 537,876885.0,24123.0,1236.0,,
Population 538,114652.0,1307.0,,,
Population 539,96699.0,731.0,6.0,,
Population 540,168903.0,3253.0,7.0,,
Population 541,162013.0,6876.0,10.0,,
Population 542,57382.0,397.0,,,
Population 543,55603.0,469.0,1.0,,
Population 544,687838.0,7533.0,33.0,,
Population 545,196926.0,5128.0,11.0,,
Population 546,367071.0,7436.0,11.0,,
Population 547,44541.0,327.0,,,
Population 548,247812.0,2004.0,,,
Population 549,776243.0,11556.0,68.0,,
Population 550,259733.0,2736.0,3.0,,
Population 551,778929.0,19585.0,38.0,,
Population 552,260181.0,3884.0,25.0,,
Population 553,373321.0,7148.0,25.0,,
Population 554,517926.0,25867.0,191.0,2.0,
Population 555,61982.0,304.0,5.0,,
Population 556,68779.0,20665.0,153.0,,
Population 557,67785.0,353.0,2.0,,
Population 558,379540.0,15800.0,43.0,,
Population 559,586066.0,27341.0,595.0,,
Population 560,438324.0,4471.0,13.0,,
Population 561,48335.0,1394.0,,,
Population 562,94938.0,828.0,,,
Population 563,157789.0,7678.0,9.0,,
Population 564,116591.0,2567.0,11.0,,
Population 565,558046.0,16833.0,102.0,,
Population 566,160400.0,1748.0,12.0,,
Population 567,312393.0,2742.0,,,
Population 568,240335.0,2841.0,22.0,,
Population 569,176164.0,1249.0,,,
Population 570,55277.0,247.0,,,
Population 571,55895.0,651.0,,,
Population 572,685786.0,21931.0,1557.0,1094.0,
Population 573,268432.0,8840.0,43.0,,
Population 574,275078.0,4764.0,7.0,,
Population 575,76094.0,522.0,,,
Population 576,81563.0,1058.0,15.0,,
Population 577,111744.0,1482.0,,,
Population 578,153237.0,1124.0,,,
Population 579,186198.0,6391.0,13.0,,
Population 580,732977.0,37452.0,1045.0,,
Population 581,135876.0,8090.0,113.0,,
Population 582,116844.0,664.0,,,
Population 583,90145.0,504.0,,,
Population 584,141404.0,2200.0,21.0,,
Population 585,179608.0,1207.0,1.0,,
Population 586,65951.0,1374.0,4.0,,
Population 587,916595.0,19678.0,152.0,,
Population 588,938225.0,31260.0,109.0,,
Population 589,449295.0,8446.0,9.0,,
Population 590,145571.0,536942.0,27750.0,160.0,
Population 591,203751.0,1427.0,5.0,,
Population 592,107187.0,679.0,,,
Population 593,748936.0,35436.0,10110.0,56.0,
Population 594,51333.0,2375.0,4.0,,
Population 595,324918.0,2484.0,1.0,,
Population 596,59771.0,367.0,4.0,,
Population 597,87988.0,548.0,,,
Population 598,69134.0,665.0,,,
Population 599,800654.0,58605.0,251.0,,
Population 600,437030.0,10560.0,256.0,,
Population 601,291785.0,4262.0,1440.0,7.0,
Population 602,296600.0,6770.0,27.0,,
Population 603,236401.0,2610.0,19.0,,
Population 604,82213.0,656.0,,,
Population 605,885205.0,14543.0,34.0,,
Population 606,413268.0,11346.0,22.0,,
Population 607,95581.0,629.0,,,
Population 608,100807.0,991.0,,,
Population 609,105547.0,1155.0,1.0,,
Population 610,592172.0,29442.0,129.0,,
Population 611,98526.0,741.0,,,
Population 612,42436.0,1940.0,3.0,,
Population 613,115263.0,1274.0,,,
Population 614,345513.0,3086.0,4.0,,
Population 615,117630.0,1414.0,,,
Population 616,255780.0,12628.0,16.0,,
Population 617,56371.0,1435.0,12.0,,
Population 618,134426.0,766.0,,,
Population 619,483664.0,2734.0,7.0,,
Population 620,127330.0,10817.0,31.0,,
Population 621,258701.0,4954.0,39.0,,
Population 622,738100.0,11821.0,163.0,,
Population 623,347739.0,2959.0,1.0,,
Population 624,204011.0,5937.0,22.0,,
Population 625,270503.0,4036.0,21.0,,
Population 626,153774.0,974.0,,,
Population 627,77680.0,551.0,1.0,,
Population 628,150764.0,1116.0,3.0,,
Population 629,228734.0,10830.0,27.0,,
Population 630,347171.0,10830.0,139.0,,
Population 631,130311.0,2696.0,10.0,,
Population 632,123464.0,560.0,,,
Population 633,95160.0,3259.0,18.0,,
Population 634,103206.0,1953.0,,,
Population 635,419026.0,22719.0,74.0,,
Population 636,178403.0,1717.0,26.0,,
Population 637,87645.0,2605.0,1.0,,
Population 638,612026.0,4532.0,18.0,,
Population 639,203200.0,1870.0,11.0,,
Population 640,617688.0,3623.0,2.0,,
Population 641,787809.0,10837.0,36.0,,
Population 642,221715.0,2437.0,7.0,,
Population 643,116999.0,652.0,,,
Population 644,142173.0,2651.0,2.0,,
Population 645,95076.0,711.0,2.0,,
Population 646,176627.0,2388.0,10.0,,
Population 647,186588.0,1800.0,,,
Population 648,61089.0,574.0,,,
Population 649,153889.0,1270.0,,,
Population 650,90434.0,12459.0,149.0,1.0,
Population 651,295820.0,3847.0,24.0,,
Population 652,152470.0,1993.0,4.0,,
Population 653,157373.0,7107.0,50.0,,
Population 654,60362.0,4305.0,26.0,,
Population 655,137590.0,636.0,6.0,,
Population 656,173129.0,2294.0,29.0,,
Population 657,184373.0,9943.0,66.0,,
Population 658,493675.0,4739.0,4.0,,
Population 659,96637.0,719.0,5.0,,
Population 660,757445.0,36016.0,335.0,,
Population 661,110790.0,594.0,,,
Population 662,60138.0,304.0,3.0,,
Population 663,812821.0,15018.0,69.0,,
Population 664,52416.0,215702.0,8283.0,11.0,
Population 665,532041.0,2852.0,6.0,,
Population 666,88233.0,982.0,,,
Population 667,162679.0,1702.0,4.0,,
Population 668,107705.0,706.0,,,
Population 669,217901.0,1973.0,4.0,,
Population 670,147459.0,17210.0,60.0,,
Population 671,101637.0,1183.0,,,
Population 672,171949.0,2362.0,5.0,,
Population 673,52502.0,232.0,,,
Population 674,246723.0,1802.0,,,
Population 675,304501.0,2932.0,15.0,,
Population 676,76402.0,1321.0,,,
Population 677,830300.0,8877.0,24.0,,
Population 678,161468.0,1867.0,2.0,,
Population 679,215604.0,43169.0,568.0,,
Population 680,470717.0,5783.0,12.0,,
Population 681,110261.0,697.0,2.0,,
Population 682,145269.0,1232.0,,,
Population 683,355156.0,3130.0,4.0,,
Population 684,94473.0,475.0,,,
Population 685,249645.0,1376.0,,,
Population 686,707456.0,19635.0,176.0,,
Population 687,526483.0,8619.0,18.0,,
Population 688,613944.0,9742.0,31.0,,
Population 689,105020.0,662.0,,,
Population 690,148719.0,3025.0,6.0,,
Population 691,312858.0,31450.0,95.0,,
