,1,2,3
Population 766,291.0,,
Population 767,52.0,,
Population 768,75.0,,
Population 769,53.0,,
Population 770,726.0,1.0,
Population 771,18.0,,
Population 772,69.0,,
Population 773,226.0,2.0,
Population 774,531.0,3.0,
Population 775,106.0,,
Population 776,49.0,,
Population 777,43.0,,
Population 778,94.0,,
Population 779,64.0,,
Population 780,77.0,,
Population 781,153.0,,
Population 782,27.0,,
Population 783,52.0,,
Population 784,172.0,,
Population 785,56.0,,
Population 786,76.0,3.0,
Population 787,93.0,,
Population 788,822.0,,
Population 789,14.0,,
Population 790,60.0,,
Population 791,81.0,,
Population 792,34.0,,
Population 793,65.0,,
Population 794,166.0,,
Population 795,164.0,1.0,
Population 796,33.0,,
Population 797,52.0,,
Population 798,27.0,,
Population 799,77.0,,
Population 800,54.0,,
Population 801,113.0,1.0,
Population 802,46.0,,
Population 803,88.0,,
Population 804,145.0,1.0,
Population 805,84.0,1.0,
Population 806,22.0,,
Population 807,664.0,1.0,
Population 808,64.0,,
Population 809,34.0,,
Population 810,42.0,,
Population 811,151.0,,
Population 812,116.0,4.0,
Population 813,27.0,,
Population 814,70.0,,
Population 815,35.0,,
Population 816,27.0,,
Population 817,100.0,,
Population 818,63.0,,
Population 819,365.0,,
Population 820,68.0,,
Population 821,70.0,,
Population 822,40.0,,
Population 823,24.0,,
Population 824,43.0,,
Population 825,272.0,1.0,
Population 826,40.0,,
Population 827,275.0,21.0,
Population 828,51.0,,
Population 829,17.0,,
Population 830,48.0,,
Population 831,22.0,,
Population 832,84.0,,
Population 833,83.0,,
Population 834,159.0,,
Population 835,333.0,,
Population 836,20.0,,
Population 837,25.0,,
Population 838,80.0,,
Population 839,20.0,,
Population 840,193.0,,
Population 841,86.0,,
Population 842,38.0,,
Population 843,66.0,,
Population 844,86.0,,
Population 845,60.0,,
Population 846,105.0,,
Population 847,35.0,,
Population 848,1204.0,,
Population 849,124.0,,
Population 850,668.0,,
Population 851,29.0,,
Population 852,84.0,,
Population 853,33.0,,
Population 854,81.0,1.0,
Population 855,83.0,,
Population 856,180.0,,
Population 857,26.0,,
Population 858,74.0,,
Population 859,180.0,,
Population 860,82.0,,
Population 861,741.0,2.0,
Population 862,41.0,,
Population 863,80.0,,
Population 864,1902.0,4.0,
Population 865,22.0,,
Population 866,34.0,,
Population 867,39.0,,
Population 868,79.0,,
Population 869,40.0,1.0,
Population 870,213.0,,
