,1,2,3,4
Population 423,16791.0,51.0,,
Population 424,18599.0,211.0,1.0,
Population 425,21838.0,102.0,,
Population 426,96051.0,1224.0,2.0,
Population 427,16114.0,52.0,,
Population 428,7925.0,17.0,,
Population 429,14607.0,208.0,,
Population 430,11482.0,22.0,,
Population 431,50835.0,871.0,,
Population 432,18039.0,58.0,,
Population 433,31904.0,709.0,3.0,
Population 434,11378.0,46.0,,
Population 435,9691.0,12.0,,
Population 436,10305.0,33.0,,
Population 437,8452.0,14.0,,
Population 438,7967.0,26.0,,
Population 439,254260.0,2632.0,2.0,
Population 440,9510.0,30.0,,
Population 441,6665.0,6.0,,
Population 442,8199.0,26.0,,
Population 443,9768.0,63.0,,
Population 444,7798.0,47.0,,
Population 445,14925.0,39.0,,
Population 446,9273.0,14.0,,
Population 447,13948.0,33.0,,
Population 448,30623.0,80.0,,
Population 449,10392.0,40.0,,
Population 450,12383.0,40.0,,
Population 451,15319.0,18.0,,
Population 452,11887.0,41.0,,
Population 453,8150.0,51.0,,
Population 454,11482.0,24.0,,
Population 455,11996.0,27.0,,
Population 456,9475.0,58.0,,
Population 457,42327.0,335.0,,
Population 458,12601.0,91.0,,
Population 459,6905.0,7.0,,
Population 460,8556.0,41.0,,
Population 461,8739.0,73.0,,
Population 462,11015.0,28.0,,
Population 463,11712.0,108.0,,
Population 464,14805.0,178.0,,
Population 465,20867.0,45.0,,
Population 466,10497.0,67.0,,
Population 467,6642.0,10.0,,
Population 468,13575.0,537.0,,
Population 469,13408.0,116.0,,
Population 470,7405.0,47.0,,
Population 471,93701.0,420.0,,
Population 472,8538.0,42.0,,
Population 473,11986.0,29.0,,
Population 474,8528.0,13.0,,
Population 475,17736.0,61.0,,
Population 476,19351.0,242.0,,
Population 477,20912.0,876.0,,
Population 478,6625.0,6.0,,
Population 479,14556.0,59.0,,
Population 480,19723.0,147.0,,
Population 481,54181.0,680.0,,
Population 482,10600.0,31.0,,
Population 483,20205.0,83.0,,
Population 484,22854.0,112.0,,
Population 485,13293.0,12.0,,
Population 486,6914.0,14.0,,
Population 487,10277.0,23.0,,
Population 488,33785.0,127.0,,
Population 489,21600.0,160.0,,
Population 490,6465.0,33.0,,
Population 491,14118.0,138.0,1.0,
Population 492,18248.0,12.0,,
Population 493,37771.0,158.0,,
Population 494,10059.0,31.0,,
Population 495,17252.0,74.0,,
Population 496,9724.0,17.0,,
Population 497,16835.0,37.0,,
Population 498,9751.0,27.0,,
Population 499,23988.0,125.0,3.0,
Population 500,12215.0,47.0,,
Population 501,8638.0,79.0,,
Population 502,7256.0,6.0,,
Population 503,7795.0,21.0,,
Population 504,10796.0,57.0,,
Population 505,7724.0,91.0,,
Population 506,13058.0,128.0,,
Population 507,17020.0,41.0,,
Population 508,9389.0,12.0,,
Population 509,6602.0,20.0,,
Population 510,11300.0,54.0,,
Population 511,8952.0,27.0,,
