,1,2,3
Population 731,26.0,,
Population 732,38.0,,
Population 733,79.0,,
Population 734,44.0,,
Population 735,36.0,,
Population 736,332.0,2.0,
Population 737,124.0,,
Population 738,62.0,,
Population 739,1249.0,5.0,
Population 740,46.0,,
Population 741,51.0,,
Population 742,182.0,,
Population 743,29.0,,
Population 744,690.0,,
Population 745,21.0,,
Population 746,50.0,,
Population 747,187.0,,
Population 748,56.0,,
Population 749,65.0,,
Population 750,248.0,,
Population 751,145.0,,
Population 752,83.0,,
Population 753,68.0,1.0,
Population 754,49.0,,
Population 755,62.0,6.0,
Population 756,28.0,,
Population 757,31.0,,
Population 758,60.0,,
Population 759,97.0,,
Population 760,33.0,,
Population 761,61.0,,
Population 762,72.0,,
Population 763,175.0,,
Population 764,34.0,,
Population 765,62.0,,
Population 766,61.0,,
Population 767,182.0,2.0,
Population 768,90.0,,
Population 769,112.0,,
Population 770,53.0,,
Population 771,68.0,,
Population 772,20.0,,
Population 773,72.0,,
Population 774,70.0,,
Population 775,25.0,,
Population 776,99.0,,
Population 777,54.0,,
Population 778,37.0,,
Population 779,85.0,,
Population 780,70.0,,
Population 781,96.0,,
Population 782,168.0,,
Population 783,248.0,,
Population 784,113.0,,
Population 785,449.0,1.0,
Population 786,63.0,,
Population 787,28.0,,
Population 788,142.0,,
Population 789,81.0,,
Population 790,335.0,,
Population 791,35.0,,
Population 792,36.0,,
Population 793,50.0,,
Population 794,44.0,,
Population 795,167.0,,
Population 796,638.0,2.0,
Population 797,48.0,,
Population 798,35.0,,
Population 799,33.0,,
Population 800,51.0,,
Population 801,69.0,2.0,
Population 802,38.0,,
Population 803,69.0,,
Population 804,72.0,,
Population 805,44.0,,
Population 806,51.0,,
Population 807,73.0,122.0,
Population 808,280.0,,
Population 809,65.0,,
Population 810,80.0,,
Population 811,114.0,,
Population 812,56.0,,
Population 813,89.0,,
Population 814,95.0,,
Population 815,110.0,,
Population 816,140.0,,
Population 817,266.0,1.0,
Population 818,148.0,,
Population 819,176.0,,
Population 820,35.0,,
Population 821,24.0,,
Population 822,34.0,,
Population 823,192.0,,
Population 824,52.0,,
Population 825,35.0,,
Population 826,54.0,,
Population 827,185.0,,
Population 828,76.0,,
Population 829,25.0,,
Population 830,260.0,2.0,
Population 831,543.0,18.0,
Population 832,64.0,,
Population 833,35.0,,
Population 834,608.0,3.0,
Population 835,65.0,,
Population 836,64.0,,
Population 837,180.0,,
Population 838,42.0,,
Population 839,55.0,,
Population 840,103.0,,
Population 841,145.0,,
Population 842,323.0,1.0,
Population 843,77.0,,
Population 844,48.0,,
Population 845,41.0,,
Population 846,80.0,,
Population 847,51.0,,
Population 848,62.0,,
Population 849,100.0,,
Population 850,93.0,,
Population 851,74.0,,
Population 852,21.0,,
Population 853,74.0,1.0,
Population 854,76.0,,
Population 855,109.0,,
Population 856,241.0,,
Population 857,82.0,1.0,
Population 858,192.0,,
Population 859,60.0,,
Population 860,119.0,,
Population 861,1143.0,2.0,
Population 862,14.0,,
Population 863,30.0,,
Population 864,46.0,,
Population 865,112.0,,
Population 866,95.0,,
Population 867,401.0,,
Population 868,88.0,,
Population 869,139.0,,
Population 870,65.0,,
Population 871,113.0,,
Population 872,59.0,,
Population 873,144.0,,
Population 874,37.0,,
Population 875,47.0,,
Population 876,58.0,1.0,
Population 877,237.0,1.0,
Population 878,194.0,,
Population 879,119.0,,
Population 880,226.0,1.0,
Population 881,56.0,,
Population 882,102.0,,
Population 883,84.0,,
Population 884,56.0,2.0,
Population 885,249.0,,
Population 886,1386.0,6.0,
Population 887,17.0,,
Population 888,156.0,,
Population 889,40.0,,
Population 890,97.0,,
Population 891,85.0,,
Population 892,73.0,,
Population 893,23.0,,
Population 894,119.0,,
Population 895,37.0,,
Population 896,158.0,,
Population 897,38.0,,
Population 898,27.0,,
Population 899,44.0,,
Population 900,45.0,,
Population 901,26.0,,
Population 902,142.0,,
Population 903,36.0,,
Population 904,44.0,,
Population 905,36.0,,
Population 906,45.0,,
Population 907,59.0,,
Population 908,230.0,,
Population 909,26.0,,
Population 910,84.0,,
Population 911,126.0,,
Population 912,60.0,,
Population 913,54.0,1.0,
Population 914,79.0,,
Population 915,24.0,,
Population 916,132.0,,
Population 917,65.0,,
Population 918,36.0,,
Population 919,163.0,,
Population 920,23.0,,
Population 921,161.0,,
Population 922,31.0,,
Population 923,113.0,,
Population 924,27.0,,
Population 925,66.0,,
Population 926,56.0,1.0,
Population 927,123.0,,
Population 928,49.0,,
Population 929,48.0,,
Population 930,47.0,,
Population 931,42.0,,
Population 932,818.0,17.0,
Population 933,71.0,,
Population 934,78.0,,
Population 935,83.0,,
Population 936,116.0,,
Population 937,133.0,,
Population 938,67.0,,
Population 939,34.0,,
Population 940,521.0,,
Population 941,61.0,,
Population 942,31.0,,
Population 943,33.0,,
Population 944,88.0,,
Population 945,27.0,,
Population 946,47.0,,
Population 947,26.0,,
Population 948,22.0,,
Population 949,102.0,,
Population 950,30.0,,
Population 951,43.0,,
Population 952,22.0,,
Population 953,117.0,,
Population 954,91.0,,
Population 955,75.0,,
Population 956,155.0,,
Population 957,29.0,,
Population 958,584.0,20.0,
Population 959,1271.0,5.0,
Population 960,1164.0,,
Population 961,61.0,,
Population 962,148.0,,
Population 963,694.0,,
Population 964,105.0,1.0,
Population 965,173.0,,
Population 966,48.0,,
Population 967,62.0,,
Population 968,34.0,,
Population 969,20.0,,
Population 970,28.0,,
Population 971,463.0,1.0,
Population 972,119.0,,
Population 973,210.0,3.0,
Population 974,51.0,,
Population 975,84.0,,
Population 976,79.0,,
Population 977,93.0,,
Population 978,142.0,,
Population 979,101.0,,
Population 980,91.0,,
Population 981,60.0,,
Population 982,70.0,,
Population 983,143.0,,
Population 984,199.0,,
Population 985,83.0,,
Population 986,40.0,,
Population 987,108.0,,
Population 988,71.0,,
Population 989,660.0,,
Population 990,79.0,,
Population 991,56.0,,
Population 992,102.0,,
Population 993,87.0,,
Population 994,337.0,,
Population 995,33.0,,
Population 996,166.0,,
Population 997,88.0,,
Population 998,58.0,,
Population 999,102.0,,
