,1,2,3,4,5,6
Population 317,1912263.0,52541797.0,60250380.0,1186041.0,9822.0,
Population 318,0.0,108602447.0,6970970.0,88542.0,,
Population 319,11946478.0,102708427.0,1247180.0,1917.0,,
Population 320,19446262.0,95365429.0,1102184.0,1771.0,,
Population 321,55777476.0,58116877.0,1980381.0,14387.0,,
Population 322,32852753.0,79871529.0,3169982.0,3691.0,,
Population 323,100311528.0,15307610.0,245533.0,,,
Population 324,11993349.0,42775122.0,60901563.0,250545.0,134.0,
Population 325,9733423.0,94382032.0,11652749.0,90249.0,,
Population 326,21096490.0,88153353.0,6577399.0,81496.0,105.0,
Population 327,251500.0,62493123.0,49486241.0,3677714.0,26390.0,
Population 328,111506940.0,4056654.0,283526.0,328.0,,
Population 329,72560504.0,43030011.0,290835.0,347.0,,
Population 330,1467053.0,87482274.0,26755400.0,183480.0,,
Population 331,676271.0,87912184.0,26719771.0,560036.0,336.0,
Population 332,10287502.0,104478575.0,1157196.0,1043.0,,
Population 333,0.0,109698276.0,5739171.0,47149.0,,
Population 334,16527936.0,84985107.0,14311963.0,57602.0,,
Population 335,0.0,47820016.0,43336657.0,407594.0,354.0,
Population 336,11677531.0,97559908.0,6571187.0,34311.0,,
Population 337,112792649.0,3037515.0,28013.0,,,
Population 338,27396852.0,87552134.0,948871.0,3138.0,,
Population 339,780587.0,108788996.0,6229949.0,72914.0,189.0,
Population 340,45747177.0,68186570.0,1944059.0,13156.0,,
Population 341,84687936.0,31075542.0,81785.0,,,
Population 342,102708068.0,13008985.0,55048.0,,,
Population 343,19516686.0,95474339.0,930823.0,1177.0,,
Population 344,172575.0,52994366.0,60203407.0,2475508.0,31333.0,
Population 345,57901844.0,57261968.0,739712.0,549.0,,
Population 346,6437750.0,105597506.0,3812784.0,13273.0,,
Population 347,97402044.0,16722597.0,1741636.0,2210.0,,
Population 348,89739162.0,25923888.0,215473.0,,,
Population 349,44815888.0,65563441.0,5469491.0,20108.0,,
Population 350,27563417.0,87122781.0,1239110.0,1113.0,,
Population 351,10884395.0,102894988.0,2128479.0,11632.0,130.0,
Population 352,98997066.0,16766730.0,106310.0,130.0,,
Population 353,32649415.0,75210579.0,8050418.0,21573.0,,
Population 354,446222.0,104403888.0,10971467.0,44897.0,,
Population 355,95799561.0,19798557.0,219067.0,245.0,,
Population 356,1094446.0,554115.0,107377768.0,6805656.0,42798.0,
Population 357,0.0,70264791.0,44438884.0,305309.0,,
Population 358,296789.0,112856771.0,2702555.0,8282.0,,
Population 359,1077466.0,103332056.0,11416362.0,56927.0,,
Population 360,41157649.0,73483427.0,1211442.0,6691.0,,
Population 361,73565097.0,40649073.0,1664962.0,11062.0,,
Population 362,9221.0,20057335.0,92948855.0,2908202.0,11711.0,137.0
Population 363,72734260.0,42639527.0,451756.0,1441.0,,
Population 364,100517363.0,14946750.0,400733.0,610.0,,
Population 365,697966.0,102691334.0,12430557.0,67226.0,137.0,
Population 366,0.0,18080091.0,95957204.0,1769269.0,98204.0,186.0
Population 367,37487466.0,76931568.0,1488517.0,2300.0,,
Population 368,1204876.0,113130328.0,1551569.0,2065.0,,
Population 369,29452295.0,84647647.0,1784823.0,17253.0,,
Population 370,17980.0,83614194.0,32036492.0,219803.0,146.0,
Population 371,88383179.0,27037011.0,462757.0,1295.0,,
Population 372,30574895.0,48635619.0,36520866.0,211807.0,190.0,
Population 373,87548910.0,27518634.0,816279.0,1935.0,,
Population 374,87476933.0,27217241.0,1162081.0,17812.0,,
Population 375,3362530.0,6420610.0,105552658.0,572831.0,743.0,
Population 376,8163923.0,103511009.0,4223786.0,8406.0,,
Population 377,891433.0,44484678.0,70010787.0,523099.0,590.0,
Population 378,270905.0,113900800.0,1675017.0,3144.0,,
Population 379,448.0,33752739.0,340131.0,1361.0,,
Population 380,0.0,81677293.0,14800369.0,39259.0,,
Population 381,4191643.0,109910379.0,1775669.0,14291.0,,
Population 382,100113936.0,15227820.0,503864.0,403.0,,
Population 383,846832.0,110365053.0,4644242.0,19621.0,,
Population 384,108272492.0,7545678.0,35936.0,,,
Population 385,79574573.0,35928817.0,364153.0,21289.0,117.0,
Population 386,33377665.0,81400065.0,1131903.0,2754.0,,
Population 387,96106433.0,18547893.0,1204432.0,4357.0,,
Population 388,0.0,100386472.0,1687473.0,9130.0,,
Population 389,43955056.0,56778413.0,15052230.0,104311.0,,
Population 390,114593559.0,1168728.0,3295.0,,,
Population 391,2805993.0,112353048.0,749150.0,346.0,,
Population 392,19360306.0,95046070.0,1501361.0,5236.0,,
Population 393,47377388.0,63856640.0,4637618.0,14775.0,,
Population 394,101022233.0,14677287.0,164986.0,238.0,,
Population 395,61970954.0,51075773.0,2853359.0,5884.0,,
Population 396,14735915.0,94603818.0,6556353.0,17349.0,,
Population 397,77259075.0,38247545.0,377328.0,1193.0,,
Population 398,0.0,92777862.0,22646840.0,202524.0,377.0,
