,1,2,3,4,5
Population 355,375510.0,147635.0,338.0,,
Population 356,778495.0,21794.0,534.0,,
Population 357,565245.0,17940.0,79.0,,
Population 358,815545.0,42433.0,132.0,,
Population 359,967855.0,20632.0,51.0,,
Population 360,959673.0,15219.0,80.0,,
Population 361,694247.0,34465.0,147.0,,
Population 362,710948.0,21991.0,68.0,,
Population 363,670835.0,36597.0,163.0,7.0,
Population 364,758861.0,12351.0,18.0,,
Population 365,122711.0,315906.0,3784.0,3.0,
Population 366,790471.0,85196.0,1424.0,,
Population 367,837166.0,45680.0,2211.0,9.0,
Population 368,826246.0,162635.0,1921.0,,
Population 369,492924.0,132609.0,462.0,21.0,
Population 370,663744.0,11119.0,30.0,,
Population 371,926642.0,25616.0,718.0,,
Population 372,678491.0,47060.0,60.0,,
Population 373,827509.0,16021.0,234.0,,
Population 374,829351.0,159898.0,1020.0,,
Population 375,910461.0,75732.0,341.0,,
Population 376,704487.0,9297.0,10.0,,
Population 377,592506.0,5657.0,35.0,,
Population 378,511036.0,15272.0,34.0,,
Population 379,471174.0,7744.0,71.0,,
Population 380,713020.0,18147.0,53.0,,
Population 381,585967.0,68712.0,338.0,,
Population 382,761473.0,23454.0,76.0,,
Population 383,755205.0,6881.0,3.0,,
Population 384,747528.0,226858.0,5092.0,17.0,
Population 385,480155.0,11046.0,149.0,,
Population 386,9102.0,948210.0,42106.0,543.0,1.0
Population 387,570478.0,111296.0,533.0,4.0,
Population 388,923614.0,54495.0,470.0,,
Population 389,967386.0,14199.0,121.0,,
Population 390,589782.0,69042.0,1065.0,,
Population 391,816636.0,16358.0,29.0,,
Population 392,655968.0,32689.0,575.0,,
Population 393,498192.0,124073.0,730.0,,
Population 394,395038.0,2469.0,4.0,,
Population 395,959786.0,32997.0,75.0,2.0,
Population 396,579877.0,241921.0,877.0,1.0,
Population 397,639753.0,19692.0,182.0,,
Population 398,938163.0,20952.0,79.0,,
Population 399,666968.0,127508.0,5249.0,36.0,
Population 400,45307.0,915175.0,38618.0,329.0,
Population 401,961739.0,6417.0,15.0,,
Population 402,894982.0,31896.0,152.0,,
Population 403,967171.0,22600.0,35.0,,
Population 404,311002.0,9055.0,12.0,,
Population 405,826366.0,37546.0,163.0,,
Population 406,794293.0,10435.0,29.0,,
Population 407,23697.0,903724.0,72059.0,331.0,
Population 408,691991.0,177097.0,1168.0,4.0,
Population 409,727161.0,75582.0,280.0,,
Population 410,741537.0,10306.0,15.0,,
Population 411,934132.0,8132.0,77.0,,
Population 412,777110.0,35109.0,163.0,,
Population 413,541384.0,437150.0,11218.0,60.0,
Population 414,924354.0,11709.0,39.0,,
Population 415,819649.0,32123.0,183.0,,
Population 416,415322.0,243426.0,4226.0,1.0,
Population 417,430383.0,16255.0,53.0,,
Population 418,873162.0,18522.0,66.0,,
Population 419,811767.0,14106.0,17.0,,
Population 420,859208.0,35060.0,366.0,,
Population 421,951423.0,34244.0,170.0,,
Population 422,901480.0,12268.0,14.0,,
Population 423,949138.0,19390.0,94.0,,
Population 424,928224.0,41896.0,126.0,,
Population 425,678334.0,47554.0,240.0,,
Population 426,564124.0,6387.0,24.0,,
Population 427,845787.0,141346.0,1433.0,,
Population 428,787070.0,9649.0,8.0,,
Population 429,766541.0,188154.0,25340.0,94.0,
Population 430,753163.0,203317.0,33055.0,2134.0,3.0
Population 431,888178.0,20312.0,32.0,,
Population 432,681014.0,173723.0,667.0,,
Population 433,961100.0,6905.0,14.0,,
Population 434,948870.0,27122.0,184.0,,
Population 435,957409.0,15135.0,18.0,,
Population 436,825323.0,11505.0,25.0,,
Population 437,778099.0,5911.0,14.0,,
Population 438,852163.0,93149.0,5079.0,16.0,
Population 439,728857.0,21055.0,82.0,2.0,
Population 440,906518.0,87523.0,1210.0,5.0,
Population 441,777721.0,9710.0,69.0,,
Population 442,881433.0,92551.0,2144.0,,
Population 443,770716.0,30956.0,59.0,,
Population 444,402968.0,8477.0,57.0,,
Population 445,887592.0,18452.0,123.0,,
Population 446,361966.0,31977.0,42.0,,
Population 447,660416.0,52256.0,419.0,2.0,
Population 448,499111.0,41565.0,1985.0,33.0,
Population 449,783302.0,35197.0,72.0,,
Population 450,736429.0,249364.0,3563.0,6.0,
Population 451,902753.0,53636.0,216.0,1.0,
Population 452,660105.0,6505.0,9.0,,
Population 453,483030.0,359032.0,35733.0,160.0,
Population 454,829898.0,30692.0,55.0,,
Population 455,533092.0,13811.0,26.0,,
Population 456,600201.0,11197.0,22.0,,
Population 457,816003.0,11165.0,43.0,,
Population 458,810172.0,48736.0,469.0,,
Population 459,635437.0,52794.0,264.0,,
Population 460,624463.0,8388.0,45.0,,
Population 461,314063.0,6589.0,48.0,,
Population 462,970520.0,26916.0,220.0,,
Population 463,964199.0,21026.0,67.0,,
Population 464,880622.0,18723.0,45.0,,
Population 465,673168.0,23605.0,70.0,,
Population 466,756724.0,6606.0,6.0,,
Population 467,893578.0,17875.0,72.0,,
Population 468,689601.0,265830.0,2252.0,1.0,
Population 469,510865.0,9095.0,22.0,,
Population 470,899972.0,23738.0,524.0,,
Population 471,533930.0,277908.0,956.0,1.0,
Population 472,446674.0,6382.0,15.0,,
Population 473,902389.0,49593.0,149.0,1.0,
Population 474,302198.0,124111.0,543.0,,
Population 475,541734.0,214493.0,1951.0,2.0,
Population 476,931509.0,24690.0,64.0,,
Population 477,601584.0,6353.0,6.0,,
Population 478,553911.0,21504.0,97.0,,
Population 479,815176.0,17925.0,132.0,,
Population 480,660879.0,271579.0,3197.0,8.0,
Population 481,830525.0,53138.0,229.0,,
Population 482,564844.0,371052.0,5025.0,38.0,
Population 483,340004.0,58368.0,76.0,,
Population 484,920598.0,58748.0,759.0,,
Population 485,732906.0,184581.0,799.0,3.0,
Population 486,956895.0,37588.0,338.0,,
Population 487,114087.0,734115.0,4674.0,12.0,
Population 488,869466.0,49616.0,376.0,,
