,neutral_MaxAFs,neutral_H,neutral_total_m,neutral_rec_errors
188,0.001375,0.9684240838371747,1096.0,1.0262278441084298
189,0.035352,0.3201309189077266,1060.0,0.9723348361132302
190,0.000628,0.9824174278086046,1056.0,1.0943307820119488
191,0.025996,0.3906538170659808,1119.0,0.9723348361132302
192,0.001576,0.9538083761994293,1013.0,0.9723348361132302
193,0.00049,0.9839004399013707,1049.0,1.0262278441084298
194,0.001002,0.9767269764878604,1009.0,0.9976586919116599
195,0.001468,0.9631360310592711,1076.0,0.9723348361132302
196,0.001094,0.9672105548659973,1061.0,0.9723348361132302
197,0.001253,0.971834814877035,1087.0,1.0262278441084298
198,0.002644,0.9307700840911755,1020.0,0.9723348361132302
199,0.003462,0.9281735599175269,1092.0,0.9723348361132302
200,0.002543,0.9297414011014423,1008.0,1.0898041493386792
201,0.000254,0.9925489438782386,1034.0,1.2026771010218988
202,0.00185,0.9616384569383807,1066.0,0.9723348361132302
203,0.000641,0.9852482592922721,1078.0,0.9723348361132302
204,0.000265,0.9914037829639519,1063.0,1.0262278441084298
205,0.003695,0.8775317904400701,1103.0,1.047983973644051
206,0.006242,0.8442374127519181,1065.0,0.9723348361132302
207,0.00095,0.9681623656089531,1036.0,0.9723348361132302
208,0.000562,0.9824892802737624,1020.0,0.9723348361132302
209,0.00148,0.9682126303106557,1071.0,0.9976586919116599
210,0.004452,0.9162914654137747,1058.0,0.9723348361132302
211,0.000598,0.9842977141701672,1058.0,0.9723348361132302
212,0.000655,0.9837294929113287,1072.0,1.0706779246227693
213,0.000784,0.9743959586487337,1032.0,0.9723348361132302
214,0.002006,0.9459218397910564,1053.0,1.0262278441084298
215,0.009707,0.7835446371673003,1071.0,0.9723348361132302
216,0.000734,0.9794227834846554,1082.0,0.9723348361132302
217,0.000376,0.9870797740357528,1041.0,0.9723348361132302
218,0.008452,0.7767369643467594,1044.0,1.0898041493386792
219,0.002263,0.9420967840532513,1041.0,0.9723348361132302
220,0.001062,0.9743795162030351,1059.0,0.9723348361132302
221,0.001449,0.9594378141409209,1004.0,0.9723348361132302
222,0.000992,0.9750274468242675,1068.0,0.9723348361132302
223,0.001095,0.9628437439265564,1069.0,0.9723348361132302
224,0.001476,0.968144106112762,1025.0,1.2068000897502529
225,0.000612,0.9849440047692775,1006.0,0.9723348361132302
226,0.000466,0.9850056567082011,1047.0,0.9723348361132302
227,0.000496,0.9860509103063438,1056.0,0.9723348361132302
228,0.006515,0.8385750902813401,1052.0,0.9976586919116599
229,0.000878,0.97634925516494,1068.0,0.9723348361132302
230,0.023211,0.5001729203821792,1008.0,0.9723348361132302
231,0.001488,0.9511232248999876,1031.0,0.9723348361132302
232,0.000576,0.9815509424244944,1075.0,0.9723348361132302
233,0.002449,0.9157032110605918,987.0,0.9723348361132302
234,0.038454,0.43453230466141757,1083.0,0.9723348361132302
235,0.000972,0.9783231641050629,1085.0,1.047983973644051
236,0.000636,0.9865073342128858,1044.0,0.9723348361132302
237,0.001738,0.9548679789745947,1040.0,0.9723348361132302
238,0.001385,0.9645999414394265,1048.0,0.9723348361132302
239,0.000375,0.9863298092066106,1006.0,0.9723348361132302
240,0.002304,0.9573446781785782,1102.0,1.0262278441084298
241,0.000314,0.9913120353951217,1055.0,0.9976586919116599
242,0.027751,0.4852319907502267,1014.0,0.9723348361132302
243,0.003826,0.8746422853457343,1060.0,0.9723348361132302
244,0.022159,0.4730457553081694,1112.0,0.9723348361132302
245,0.001582,0.9569718787875294,1056.0,0.9723348361132302
246,0.001909,0.9500971509346477,1071.0,0.9723348361132302
247,0.007776,0.7707133637265002,1022.0,0.9723348361132302
248,0.002103,0.9505217964083761,1030.0,1.0262278441084298
249,0.00032,0.9921335830154305,1034.0,0.9723348361132302
250,0.100488,0.21837341991351056,1029.0,1.0026420994259144
251,0.000515,0.9861792463726979,1055.0,0.9976586919116599
252,0.004928,0.8993000308703014,1108.0,0.9723348361132302
253,0.012869,0.7278842482038359,1088.0,0.9723348361132302
254,0.004104,0.8620302112446339,1022.0,0.9976586919116599
255,0.000208,0.9932157378160539,1054.0,0.9723348361132302
256,0.001536,0.950053524952607,1056.0,0.9723348361132302
257,0.006357,0.7750912717090237,1030.0,0.9723348361132302
258,0.00235,0.9345947633389102,1022.0,1.081610318716523
259,0.000684,0.9835478037349376,1045.0,0.9723348361132302
260,0.000407,0.9846110980684541,1031.0,1.0262278441084298
261,0.001277,0.9608184344098554,1004.0,1.0262278441084298
262,0.018006,0.4745895845969559,997.0,0.9723348361132302
263,0.000981,0.9709177929402154,1089.0,0.9976586919116599
264,0.001018,0.9770622910391882,1034.0,1.0001503956687872
265,0.000278,0.9915670405742385,1071.0,0.9723348361132302
266,0.011717,0.8006509876982176,1009.0,0.9723348361132302
267,0.00038,0.9895813049111415,996.0,0.9723348361132302
268,0.004791,0.875903524062858,1034.0,0.9723348361132302
269,0.003845,0.9031048316379575,1070.0,0.9723348361132302
270,0.008048,0.7975102394927742,1055.0,0.9938362020505753
271,0.004864,0.7935591696874011,1044.0,0.9723348361132302
272,0.000684,0.9825196296518008,1040.0,0.9723348361132302
273,0.000908,0.9773726199966265,1079.0,0.9723348361132302
274,0.04591,0.32027123337677277,1114.0,1.0262278441084298
275,0.041382,0.34013838887062064,1039.0,1.0262278441084298
276,0.002275,0.9366557122289217,1040.0,0.9723348361132302
277,0.000751,0.980213973114037,1107.0,1.0262278441084298
278,0.003398,0.9052735584218299,1038.0,0.9976586919116599
279,0.00087,0.9683681704104184,1016.0,1.0262278441084298
280,0.003023,0.9150127860382823,1082.0,0.9976586919116599
281,0.000724,0.9859090609511305,1070.0,0.9723348361132302
282,0.001096,0.9748785089099954,1057.0,0.9723348361132302
283,0.001855,0.9557009213642598,1041.0,0.9976586919116599
284,0.001541,0.9601271024751741,1080.0,1.0262278441084298
285,0.004394,0.8654424300108557,1056.0,0.9723348361132302
286,0.004871,0.8704134804131304,1038.0,0.9723348361132302
287,0.001151,0.9632228419310431,1000.0,0.9723348361132302
288,0.003459,0.9018648709360364,1057.0,0.9723348361132302
289,0.001082,0.9704707894633987,1054.0,1.0898041493386792
290,0.001106,0.9741242599913462,1100.0,0.9723348361132302
291,0.000397,0.9879333860702658,1062.0,0.9723348361132302
292,0.001396,0.9707062158651973,1038.0,0.9723348361132302
293,0.002634,0.9229512451963633,1023.0,1.0262278441084298
294,0.001256,0.9635961619388533,1080.0,0.9723348361132302
295,0.000727,0.9796486012604463,1079.0,1.0801208521036312
296,0.002571,0.9269598321170791,1055.0,1.0262278441084298
297,0.000914,0.97733881486357,1045.0,1.0262278441084298
298,0.000421,0.9883258324261464,1047.0,0.9723348361132302
299,0.001585,0.9652425701847093,1034.0,0.9976586919116599
300,0.00069,0.9774675540924849,1055.0,0.9723348361132302
301,0.004947,0.8869840838305427,1019.0,1.0801208521036312
302,0.002314,0.9325315427225359,1055.0,1.0262278441084298
303,0.000564,0.9802592549127028,1071.0,1.0262278441084298
304,0.001534,0.9602288323353327,1056.0,1.0262278441084298
305,0.001088,0.9629105046442593,1039.0,0.9723348361132302
306,0.001219,0.9733322295685501,1072.0,0.9976586919116599
307,0.000628,0.9825622435667063,1088.0,1.0419475574937653
308,0.001487,0.9570786837339872,1101.0,0.9723348361132302
309,0.002415,0.9462261256529786,1064.0,0.9723348361132302
310,0.00147,0.9574573853755961,1081.0,1.047983973644051
311,0.01633,0.6768957568556687,1085.0,0.9723348361132302
312,0.005077,0.8250584281984652,982.0,0.9723348361132302
313,0.002468,0.9421738887341389,1060.0,0.9723348361132302
314,0.001436,0.9681556953609229,1049.0,1.0795660760764587
