,1,2
Population 765,144.0,
Population 766,32.0,
Population 767,97.0,
Population 768,94.0,
Population 769,76.0,
Population 770,29.0,
Population 771,65.0,
Population 772,131.0,
Population 773,14.0,
Population 774,123.0,1.0
Population 775,121.0,
Population 776,108.0,
Population 777,52.0,
Population 778,52.0,
Population 779,32.0,
Population 780,70.0,
Population 781,40.0,
Population 782,111.0,
Population 783,36.0,
Population 784,48.0,
Population 785,27.0,
Population 786,58.0,
Population 787,21.0,
Population 788,308.0,
Population 789,86.0,1.0
Population 790,84.0,
Population 791,81.0,2.0
Population 792,22.0,
Population 793,45.0,
Population 794,54.0,
Population 795,70.0,
Population 796,19.0,
Population 797,546.0,1.0
Population 798,52.0,
Population 799,239.0,
Population 800,60.0,
Population 801,157.0,
Population 802,41.0,
Population 803,37.0,
Population 804,32.0,
Population 805,37.0,
Population 806,88.0,
Population 807,46.0,
Population 808,45.0,
Population 809,38.0,
Population 810,43.0,
Population 811,99.0,
Population 812,50.0,1.0
Population 813,43.0,
Population 814,339.0,
Population 815,48.0,
Population 816,51.0,
Population 817,92.0,
Population 818,39.0,
Population 819,75.0,
Population 820,78.0,1.0
Population 821,120.0,
Population 822,56.0,
Population 823,35.0,
Population 824,36.0,
Population 825,89.0,
Population 826,50.0,
Population 827,97.0,
Population 828,52.0,
Population 829,41.0,
Population 830,361.0,
Population 831,170.0,
Population 832,106.0,
Population 833,198.0,
Population 834,146.0,
Population 835,126.0,
Population 836,51.0,
Population 837,101.0,1.0
Population 838,238.0,
Population 839,380.0,
Population 840,64.0,
Population 841,82.0,
Population 842,99.0,
Population 843,255.0,1.0
Population 844,400.0,6.0
Population 845,91.0,
Population 846,915.0,4.0
Population 847,59.0,
Population 848,34.0,
Population 849,75.0,
Population 850,34.0,
Population 851,47.0,
Population 852,97.0,
Population 853,38.0,
Population 854,713.0,4.0
Population 855,51.0,
Population 856,55.0,
Population 857,32.0,
Population 858,115.0,
Population 859,29.0,
Population 860,55.0,
Population 861,54.0,
Population 862,78.0,
Population 863,408.0,
Population 864,46.0,
Population 865,87.0,
Population 866,20.0,
Population 867,96.0,
Population 868,163.0,
Population 869,144.0,
Population 870,79.0,
Population 871,83.0,
Population 872,113.0,
Population 873,50.0,
Population 874,52.0,
Population 875,86.0,
Population 876,106.0,
Population 877,529.0,1.0
Population 878,29.0,
Population 879,135.0,
Population 880,58.0,
Population 881,23.0,
Population 882,102.0,
Population 883,39.0,
Population 884,28.0,
Population 885,130.0,
Population 886,54.0,
Population 887,587.0,
Population 888,70.0,
Population 889,149.0,
Population 890,135.0,
Population 891,84.0,
Population 892,120.0,
Population 893,104.0,
Population 894,27.0,
Population 895,52.0,
Population 896,64.0,
Population 897,96.0,
Population 898,47.0,
Population 899,35.0,
Population 900,138.0,
Population 901,65.0,
Population 902,70.0,
Population 903,52.0,
Population 904,11.0,
Population 905,121.0,
Population 906,56.0,
Population 907,51.0,
Population 908,131.0,
Population 909,40.0,
Population 910,48.0,
Population 911,188.0,3.0
Population 912,73.0,
Population 913,103.0,
Population 914,118.0,5.0
Population 915,35.0,
Population 916,72.0,
Population 917,50.0,
Population 918,110.0,
Population 919,1695.0,
Population 920,103.0,
Population 921,53.0,
Population 922,232.0,
Population 923,2298.0,2.0
Population 924,137.0,
Population 925,39.0,
Population 926,91.0,
Population 927,28.0,
Population 928,94.0,
Population 929,101.0,
Population 930,52.0,
Population 931,193.0,6.0
Population 932,131.0,
Population 933,55.0,
Population 934,70.0,
Population 935,67.0,
Population 936,131.0,
Population 937,49.0,
Population 938,132.0,
Population 939,34.0,
Population 940,108.0,
Population 941,26.0,
Population 942,48.0,
Population 943,30.0,
Population 944,58.0,
Population 945,386.0,
Population 946,40.0,
Population 947,67.0,
Population 948,106.0,
Population 949,52.0,
Population 950,22.0,
Population 951,496.0,14.0
Population 952,42.0,
Population 953,163.0,
Population 954,21.0,
Population 955,37.0,
Population 956,55.0,
Population 957,119.0,
Population 958,37.0,
Population 959,203.0,
Population 960,318.0,6.0
Population 961,53.0,
Population 962,173.0,
Population 963,246.0,
Population 964,133.0,
Population 965,71.0,
Population 966,284.0,
Population 967,35.0,
Population 968,32.0,
Population 969,18.0,
Population 970,91.0,
Population 971,22.0,
Population 972,96.0,
Population 973,27.0,
Population 974,33.0,
Population 975,33.0,
Population 976,47.0,
Population 977,22.0,
Population 978,26.0,
Population 979,74.0,
Population 980,26.0,
Population 981,106.0,
Population 982,93.0,
Population 983,13.0,
Population 984,27.0,
Population 985,89.0,
Population 986,5835.0,9.0
Population 987,25.0,
Population 988,27.0,
Population 989,125.0,
Population 990,23.0,
Population 991,1490.0,1.0
Population 992,159.0,
Population 993,76.0,
Population 994,164.0,
Population 995,94.0,
Population 996,14.0,
Population 997,94.0,
Population 998,79.0,4.0
Population 999,71.0,
